Accession,LineName,X4CGA,Apigenin,Apigenin7Oglu,CaffeicAcid,Chrysoeriol,ConiferylAldehyde,Dihydrokaempferol,Dihydroquercetin,Eriodicytol,Isoorientin,Luteolin,Naringenin,pCoumaricAcid,Phenylalanine,QuinicAcid,Rhamnosylisoorientin,SinapicAcid,SyringicAcid,Tricin,VanillicAcid,Vanillin,Vitexin,Quercetin,Apimaysin,Maysin,Kaempferol,Apigenidin,ShikimicAcid,FerulicAcid,Luteolin7Oglu,Eriodictyol7Oglu,Naringin,Syringol,Naringenin7Oglu
Ames26806,H124w,0.845417381,0.578038347,0.475183446,10.47599534,0.484499306,0.066472541,0.059119291,0.016942038,0.10373952,0.015116788,0.062848263,1.40248324,20.07551535,11.23822286,10.37547665,-0.043118551,0.237008023,39.37536098,13.43863494,174.1927297,194.6416309,0.238168531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ames26808,?.Hy,2.383642605,0.293128322,0.475724895,17.02987924,0.463065043,0.101018295,0.075955594,0.019343819,0.131886341,0.027519517,0.12934778,0.93802821,225.1890072,12.44326402,8.25634438,-0.040695591,0.390850098,31.36840818,3.319332462,127.7127047,303.2190752,0.246157875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ames27021,CH753-4,1.032361232,0.428746076,0.611606769,7.292333855,0.718002657,0.133769028,0.069420806,0.02064349,0.119225436,0.023365994,0.088865346,0.936010191,108.7355958,12.6742797,8.759959986,-0.03712039,0.178894746,19.04810751,7.161334959,176.700856,352.2230512,0.328259117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ames27024,CL17,0.01324592,0.409724366,0.457859629,2.857753606,0.395485802,0.133832669,0.053923113,0.027364933,0.153969105,0.043298293,0.052401355,1.56026142,221.8477531,16.15081525,8.134269799,-0.054427914,0.083237006,32.01130692,3.198393576,215.0333641,250.9001596,0.261292636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ames27025,CL18,-0.090302174,0.292300371,0.471903372,2.523297853,0.354882694,0.101408441,0.048438874,0.031545444,0.221774632,0.020935926,0.053737896,1.634379679,171.476964,14.60242925,7.939033786,-0.039287245,0.041229151,34.8429591,3.077913657,117.7630789,166.6083865,0.228981633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ames27028,CL22,-1.995802541,NA,0.923596805,2.621503629,8.678777629,0.097053161,0.149161447,0.007791114,0.10709152,0.028890889,0.198601029,1.717533865,353.7137683,12.12220601,8.374182385,0.108129366,-0.006697974,22.00105674,21.72184405,144.8505053,830.2866411,0.152925042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ames27029,CL27,-2.846156098,0.568026686,0.796047687,4.27622347,1.169770872,0.05549962,-0.057404721,-0.013935383,0.139393832,0.02053945,0.039629706,0.312132272,45.8673121,8.251134421,4.724903565,0.035581204,0.144996939,17.89776728,3.170339538,143.8300903,391.0316688,0.182854388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ames27031,CM99,-0.71702781,1.249425865,3.522865703,0.492358623,2.661114907,0.04201945,-0.041813416,-0.015604627,0.21255469,0.017341354,0.066633394,0.860519467,55.3906155,6.490055782,5.388467493,0.094815038,0.060420807,26.29915907,14.24905505,162.0678372,490.5065467,0.334706356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ames27039,CO117,-2.036484543,3.234335276,5.053001129,8.22567721,10.65995193,0.057873008,0.132265314,0.152980796,0.988431141,0.054381286,NA,3.337081419,274.2874075,6.675809832,4.258925578,0.101823278,0.507227231,35.80965981,22.33628344,223.8723461,366.0808588,2.14836371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ames27042,CO158,-2.357992542,1.060173273,0.840198968,20.26927772,1.295328927,0.061766511,-0.08108399,-0.002947531,0.088810264,0.018553735,0.071298049,0.965867263,158.8235638,5.041335553,3.869933619,0.096774049,0.227768435,12.09496898,3.939935359,157.1698888,546.4091717,0.164524925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
